"record_id","berth_id","time","org_id","angle_zone","lspeed_zone","ldistance_zone","rdistance_zone","rspeed_zone","left_speed","left_distance","right_speed","right_distance","angle","left_status","right_status","rdistance_alarm","rspeed_alarm","ldistance_alarm","lspeed_alarm","angle_alarm","created_at","updated_at","deleted_at"
"695","1","2025-02-21T20:46:13.25888","52","1","1","1","1","1","0.0","0.15500000000000025","609.0","-4.872","4.107603795145861","3","1","1","3","3","1","1","2025-02-21T20:46:13.25888","2025-02-21T20:46:13.25888",""
"695","1","2025-02-21T20:46:14.43888","52","1","1","1","1","1","0.4","0.15000000000000036","0.8999999999999999","-0.3259999999999996","0.38960529564671487","3","1","1","1","3","1","1","2025-02-21T20:46:14.43888","2025-02-21T20:46:14.43888",""
"695","1","2025-02-21T20:46:15.67978","52","1","1","1","1","1","0.3","0.15200000000000014","-0.3","-0.33699999999999974","0.4002454348540977","3","1","1","1","3","1","1","2025-02-21T20:46:15.67978","2025-02-21T20:46:15.67978",""
"695","1","2025-02-21T20:46:16.86518","52","1","1","1","1","1","0.7000000000000001","0.16000000000000014","0.0","-0.34299999999999997","0.4117040154135972","3","1","1","1","3","1","1","2025-02-21T20:46:16.86518","2025-02-21T20:46:16.86518",""
"695","1","2025-02-21T20:46:16.91499","52","1","1","1","1","1","0.7000000000000001","0.16000000000000014","-4.3","-0.31099999999999994","0.3855129272175629","3","1","1","1","3","1","1","2025-02-21T20:46:16.91499","2025-02-21T20:46:16.91499",""
"695","1","2025-02-21T20:46:18.08788","52","1","1","1","1","1","1.0999999999999999","0.1689999999999996","-1.6","-0.3639999999999999","0.43625800453844343","3","1","1","1","3","1","1","2025-02-21T20:46:18.08788","2025-02-21T20:46:18.08788",""
"695","1","2025-02-21T20:46:19.25513","52","1","1","1","1","1","1.0999999999999999","0.17900000000000027","-4.0","-0.38900000000000023","0.46490412202220316","3","1","1","1","3","1","1","2025-02-21T20:46:19.25513","2025-02-21T20:46:19.25513",""
"695","1","2025-02-21T20:46:20.43047","52","1","1","1","1","1","1.0999999999999999","0.1980000000000004","-3.6999999999999997","-0.41800000000000015","0.5041898451633422","3","1","1","1","3","1","1","2025-02-21T20:46:20.43047","2025-02-21T20:46:20.43047",""
"695","1","2025-02-21T20:46:21.59033","52","1","1","1","1","1","1.7999999999999998","0.20199999999999996","-3.1","-0.43599999999999994","0.5221956453923025","3","1","1","1","3","1","1","2025-02-21T20:46:21.59033","2025-02-21T20:46:21.59033",""
"695","1","2025-02-21T20:46:22.77011","52","1","1","1","1","1","1.2","0.22599999999999998","-0.8","-0.46799999999999997","0.5680281177290305","3","1","1","1","3","1","1","2025-02-21T20:46:22.77011","2025-02-21T20:46:22.77011",""
"695","1","2025-02-21T20:46:23.94371","52","1","1","1","1","1","0.8999999999999999","0.2370000000000001","-0.8","-0.48299999999999965","0.5893072363350342","3","1","1","1","3","1","1","2025-02-21T20:46:23.94371","2025-02-21T20:46:23.94371",""
"695","1","2025-02-21T20:46:25.10643","52","1","1","1","1","1","1.5","0.25399999999999956","-1.6","-0.5039999999999996","0.6204071925442013","3","1","1","1","3","1","1","2025-02-21T20:46:25.10643","2025-02-21T20:46:25.10643",""
